seriesid,"Annual
2013","Annual
2014","Annual
2015","Annual
2016","Annual
2017","Annual
2018","Annual
2019","Annual
2020","Annual
2021","Annual
2022","Annual
2023",Series,Activity,Age Group,Gender
TUU10101AA01017866,8.7,8.74,8.77,8.73,8.74,8.78,8.79,,8.9,8.98,9.04,Avg hrs per day,Sleeping,18 yrs and over,MenAndWomen
TUU10101AA01018310,0.6,0.57,0.59,0.6,0.57,0.56,0.55,,0.6,0.59,0.63,Avg hrs per day,Housework,18 yrs and over,MenAndWomen
TUU10101AA01018531,0.6,0.61,0.62,0.61,0.62,0.61,0.62,,0.67,0.68,0.66,Avg hrs per day,Food preparation and cleanup,18 yrs and over,MenAndWomen
TUU10101AA01018752,0.19,0.2,0.21,0.2,0.18,0.18,0.18,,0.21,0.19,0.18,Avg hrs per day,Lawn and garden care,18 yrs and over,MenAndWomen
TUU10101AA01032301,0.1,0.11,0.11,0.13,0.13,0.12,0.12,,0.16,0.15,0.15,Avg hrs per day,Animal and pet care,18 yrs and over,MenAndWomen
TUU10101AA01022564,0.28,0.29,0.28,0.29,0.3,0.3,0.29,,0.22,0.23,0.25,Avg hrs per day,Travel related to work,18 yrs and over,MenAndWomen
TUU10101AA01008865,9.49,9.52,9.58,9.52,9.53,9.53,9.57,,9.64,9.74,9.79,Avg hrs per day,Personal care activities (includes travel),18 yrs and over,MenAndWomen
TUU10101AA01009417,1.85,1.84,1.91,1.9,1.87,1.83,1.85,,2.02,1.96,1.98,Avg hrs per day,Household activities (includes travel),18 yrs and over,MenAndWomen
TUU10101AA01010410,0.55,0.56,0.53,0.55,0.55,0.53,0.51,,0.49,0.5,0.52,Avg hrs per day,Caring for and helping household members (includes travel),18 yrs and over,MenAndWomen
TUU10101AA01012023,3.64,3.75,3.7,3.78,3.76,3.72,3.77,,3.64,3.66,3.73,Avg hrs per day,Working and work-related activities (includes travel),18 yrs and over,MenAndWomen
TUU10101AA01012371,0.25,0.25,0.27,0.26,0.28,0.29,0.25,,0.26,0.23,0.21,Avg hrs per day,Educational activities (includes travel),18 yrs and over,MenAndWomen
TUU10101AA01012688,0.76,0.75,0.76,0.78,0.74,0.73,0.77,,0.69,0.67,0.67,Avg hrs per day,Purchasing goods and services (includes travel),18 yrs and over,MenAndWomen
TUU10101AA01013273,1.24,1.18,1.19,1.18,1.18,1.19,1.19,,1.19,1.23,1.2,Avg hrs per day,Eating and drinking (includes travel),18 yrs and over,MenAndWomen
TUU10101AA01013627,5.25,5.27,5.18,5.12,5.23,5.25,5.18,,5.25,5.18,5.11,Avg hrs per day,Leisure and sports (includes travel),18 yrs and over,MenAndWomen
TUU10101AA01028079,0.14,0.14,0.15,0.13,0.15,0.13,0.13,,0.09,0.1,0.09,Avg hrs per day,Volunteering (organizational and civic activities),18 yrs and over,MenAndWomen
TUU10101AA01000276,8.65,8.77,8.87,8.71,8.76,8.78,8.88,,9.04,9.07,8.96,Avg hrs per day,Sleeping,25-34 yrs,MenAndWomen
TUU10101AA01000894,0.52,0.58,0.52,0.52,0.5,0.52,0.46,,0.48,0.55,0.54,Avg hrs per day,Housework,25-34 yrs,MenAndWomen
TUU10101AA01001131,0.57,0.58,0.65,0.57,0.59,0.56,0.6,,0.72,0.65,0.6,Avg hrs per day,Food preparation and cleanup,25-34 yrs,MenAndWomen
TUU10101AA01001512,0.09,0.11,0.1,0.09,0.09,0.06,0.05,,0.09,0.1,0.06,Avg hrs per day,Lawn and garden care,25-34 yrs,MenAndWomen
TUU10101AA01032307,0.06,0.07,0.08,0.11,0.07,0.1,0.11,,0.15,0.12,0.15,Avg hrs per day,Animal and pet care,25-34 yrs,MenAndWomen
TUU10101AA01008238,0.36,0.38,0.38,0.38,0.37,0.39,0.37,,0.28,0.29,0.34,Avg hrs per day,Travel related to work,25-34 yrs,MenAndWomen
TUU10101AA01008894,9.39,9.5,9.64,9.51,9.45,9.54,9.61,,9.73,9.86,9.76,Avg hrs per day,Personal care activities (includes travel),25-34 yrs,MenAndWomen
TUU10101AA01009446,1.53,1.59,1.65,1.57,1.56,1.53,1.52,,1.76,1.68,1.58,Avg hrs per day,Household activities (includes travel),25-34 yrs,MenAndWomen
TUU10101AA01010436,1.04,1.1,1.06,1.02,1.04,0.99,1.0,,0.91,0.82,0.92,Avg hrs per day,Caring for and helping household members (includes travel),25-34 yrs,MenAndWomen
TUU10101AA01012052,4.65,4.75,4.71,4.88,4.93,5.01,4.85,,4.52,4.9,5.02,Avg hrs per day,Working and work-related activities (includes travel),25-34 yrs,MenAndWomen
TUU10101AA01012397,0.41,0.38,0.29,0.31,0.35,0.28,0.36,,0.29,0.19,0.18,Avg hrs per day,Educational activities (includes travel),25-34 yrs,MenAndWomen
TUU10101AA01012717,0.76,0.63,0.65,0.69,0.68,0.66,0.59,,0.6,0.58,0.59,Avg hrs per day,Purchasing goods and services (includes travel),25-34 yrs,MenAndWomen
TUU10101AA01013302,1.21,1.09,1.15,1.24,1.15,1.14,1.14,,1.13,1.24,1.15,Avg hrs per day,Eating and drinking (includes travel),25-34 yrs,MenAndWomen
TUU10101AA01013656,4.3,4.34,4.25,4.13,4.21,4.22,4.28,,4.5,4.15,4.29,Avg hrs per day,Leisure and sports (includes travel),25-34 yrs,MenAndWomen
TUU10101AA01015378,0.09,0.06,0.06,0.11,0.09,0.05,0.08,,0.07,0.05,0.03,Avg hrs per day,Volunteering (organizational and civic activities),25-34 yrs,MenAndWomen
TUU10101AA01000292,8.52,8.42,8.67,8.5,8.57,8.55,8.56,,8.64,8.73,8.76,Avg hrs per day,Sleeping,35-44 yrs,MenAndWomen
TUU10101AA01000910,0.67,0.63,0.59,0.63,0.55,0.62,0.57,,0.61,0.53,0.64,Avg hrs per day,Housework,35-44 yrs,MenAndWomen
TUU10101AA01001147,0.69,0.67,0.72,0.69,0.67,0.67,0.73,,0.76,0.72,0.68,Avg hrs per day,Food preparation and cleanup,35-44 yrs,MenAndWomen
TUU10101AA01001528,0.12,0.17,0.12,0.14,0.11,0.12,0.13,,0.13,0.13,0.11,Avg hrs per day,Lawn and garden care,35-44 yrs,MenAndWomen
TUU10101AA01032313,0.07,0.09,0.07,0.09,0.09,0.09,0.08,,0.12,0.11,0.15,Avg hrs per day,Animal and pet care,35-44 yrs,MenAndWomen
TUU10101AA01008254,0.37,0.38,0.36,0.38,0.46,0.42,0.38,,0.29,0.26,0.32,Avg hrs per day,Travel related to work,35-44 yrs,MenAndWomen
TUU10101AA01008910,9.27,9.15,9.42,9.23,9.29,9.26,9.27,,9.41,9.46,9.46,Avg hrs per day,Personal care activities (includes travel),35-44 yrs,MenAndWomen
TUU10101AA01009462,1.85,1.88,1.85,1.9,1.7,1.8,1.85,,1.91,1.8,1.87,Avg hrs per day,Household activities (includes travel),35-44 yrs,MenAndWomen
TUU10101AA01010452,1.15,1.17,1.17,1.16,1.18,1.18,1.14,,1.2,1.21,1.14,Avg hrs per day,Caring for and helping household members (includes travel),35-44 yrs,MenAndWomen
TUU10101AA01012068,4.82,4.99,4.9,5.07,5.22,5.08,5.04,,5.11,4.78,5.04,Avg hrs per day,Working and work-related activities (includes travel),35-44 yrs,MenAndWomen
TUU10101AA01012413,0.09,0.13,0.09,0.1,0.11,0.09,0.08,,0.09,0.13,0.09,Avg hrs per day,Educational activities (includes travel),35-44 yrs,MenAndWomen
TUU10101AA01012733,0.76,0.69,0.75,0.71,0.68,0.62,0.74,,0.63,0.62,0.71,Avg hrs per day,Purchasing goods and services (includes travel),35-44 yrs,MenAndWomen
TUU10101AA01013318,1.16,1.11,1.14,1.15,1.17,1.13,1.12,,1.12,1.18,1.16,Avg hrs per day,Eating and drinking (includes travel),35-44 yrs,MenAndWomen
