seriesid,"Annual
2013","Annual
2014","Annual
2015","Annual
2016","Annual
2017","Annual
2018","Annual
2019","Annual
2020","Annual
2021","Annual
2022","Annual
2023",Series,Activity,Age Group,Gender
TUU10101AA01018014,8.8,8.86,8.85,8.84,8.85,8.83,8.87,,9.0,9.11,9.13,Avg hrs per day,Sleeping,18 yrs and over,Women
TUU10101AA01018457,0.91,0.85,0.89,0.9,0.88,0.86,0.8,,0.87,0.84,0.92,Avg hrs per day,Housework,18 yrs and over,Women
TUU10101AA01018679,0.83,0.85,0.86,0.85,0.86,0.83,0.82,,0.89,0.9,0.88,Avg hrs per day,Food preparation and cleanup,18 yrs and over,Women
TUU10101AA01018896,0.12,0.13,0.13,0.14,0.11,0.11,0.11,,0.15,0.13,0.12,Avg hrs per day,Lawn and garden care,18 yrs and over,Women
TUU10101AA01032367,0.11,0.12,0.12,0.14,0.13,0.14,0.15,,0.17,0.17,0.17,Avg hrs per day,Animal and pet care,18 yrs and over,Women
TUU10101AA01022713,0.21,0.22,0.22,0.22,0.23,0.24,0.22,,0.16,0.16,0.19,Avg hrs per day,Travel related to work,18 yrs and over,Women
TUU10101AA01009097,9.73,9.77,9.8,9.76,9.76,9.73,9.77,,9.82,10.0,10.02,Avg hrs per day,Personal care activities (includes travel),18 yrs and over,Women
TUU10101AA01009649,2.28,2.21,2.29,2.32,2.25,2.23,2.23,,2.42,2.34,2.39,Avg hrs per day,Household activities (includes travel),18 yrs and over,Women
TUU10101AA01010636,0.72,0.75,0.72,0.72,0.71,0.72,0.68,,0.64,0.66,0.64,Avg hrs per day,Caring for and helping household members (includes travel),18 yrs and over,Women
TUU10101AA01012255,2.9,3.05,3.03,2.99,3.02,3.14,3.04,,2.98,3.04,3.12,Avg hrs per day,Working and work-related activities (includes travel),18 yrs and over,Women
TUU10101AA01012580,0.23,0.31,0.27,0.33,0.27,0.29,0.27,,0.28,0.23,0.24,Avg hrs per day,Educational activities (includes travel),18 yrs and over,Women
TUU10101AA01012920,0.88,0.87,0.9,0.9,0.85,0.83,0.9,,0.8,0.72,0.78,Avg hrs per day,Purchasing goods and services (includes travel),18 yrs and over,Women
TUU10101AA01013505,1.2,1.13,1.13,1.17,1.13,1.16,1.17,,1.17,1.21,1.18,Avg hrs per day,Eating and drinking (includes travel),18 yrs and over,Women
TUU10101AA01013871,4.94,4.92,4.86,4.78,4.98,4.85,4.87,,4.93,4.85,4.75,Avg hrs per day,Leisure and sports (includes travel),18 yrs and over,Women
TUU10101AA01028221,0.15,0.15,0.16,0.14,0.18,0.14,0.14,,0.08,0.11,0.1,Avg hrs per day,Volunteering (organizational and civic activities),18 yrs and over,Women
TUU10101AA01000434,8.85,8.91,8.96,8.87,9.04,8.91,9.08,,9.02,9.21,9.14,Avg hrs per day,Sleeping,25-34 yrs,Women
TUU10101AA01001052,0.83,0.8,0.77,0.76,0.76,0.78,0.67,,0.72,0.76,0.78,Avg hrs per day,Housework,25-34 yrs,Women
TUU10101AA01001289,0.81,0.84,0.92,0.78,0.86,0.77,0.82,,1.0,0.93,0.78,Avg hrs per day,Food preparation and cleanup,25-34 yrs,Women
TUU10101AA01001670,0.04,0.04,0.05,0.04,0.06,0.06,0.03,,0.07,0.04,0.04,Avg hrs per day,Lawn and garden care,25-34 yrs,Women
TUU10101AA01032373,0.07,0.06,0.1,0.11,0.07,0.11,0.13,,0.16,0.14,0.19,Avg hrs per day,Animal and pet care,25-34 yrs,Women
TUU10101AA01008395,0.27,0.31,0.28,0.29,0.25,0.3,0.28,,0.2,0.2,0.25,Avg hrs per day,Travel related to work,25-34 yrs,Women
TUU10101AA01009126,9.71,9.78,9.88,9.8,9.83,9.82,9.94,,9.82,10.05,10.1,Avg hrs per day,Personal care activities (includes travel),25-34 yrs,Women
TUU10101AA01009678,1.97,1.95,2.04,1.88,1.97,1.99,1.93,,2.3,2.05,2.03,Avg hrs per day,Household activities (includes travel),25-34 yrs,Women
TUU10101AA01010662,1.53,1.6,1.58,1.54,1.54,1.52,1.47,,1.36,1.24,1.22,Avg hrs per day,Caring for and helping household members (includes travel),25-34 yrs,Women
TUU10101AA01012284,3.76,3.79,3.81,3.99,3.95,4.16,3.94,,3.65,4.21,4.13,Avg hrs per day,Working and work-related activities (includes travel),25-34 yrs,Women
TUU10101AA01012606,0.34,0.46,0.34,0.28,0.36,0.31,0.34,,0.29,0.19,0.12,Avg hrs per day,Educational activities (includes travel),25-34 yrs,Women
TUU10101AA01012949,0.88,0.75,0.82,0.88,0.83,0.74,0.73,,0.7,0.66,0.74,Avg hrs per day,Purchasing goods and services (includes travel),25-34 yrs,Women
TUU10101AA01013534,1.16,1.04,1.11,1.21,1.09,1.1,1.16,,1.13,1.26,1.17,Avg hrs per day,Eating and drinking (includes travel),25-34 yrs,Women
TUU10101AA01013900,3.77,3.96,3.82,3.73,3.73,3.72,3.78,,4.13,3.77,3.93,Avg hrs per day,Leisure and sports (includes travel),25-34 yrs,Women
TUU10101AA01015536,0.11,0.05,0.04,0.09,0.14,0.05,0.08,,0.06,0.03,0.04,Avg hrs per day,Volunteering (organizational and civic activities),25-34 yrs,Women
TUU10101AA01000450,8.67,8.63,8.68,8.58,8.77,8.63,8.78,,8.79,8.87,8.92,Avg hrs per day,Sleeping,35-44 yrs,Women
TUU10101AA01001068,1.02,0.92,0.89,0.99,0.85,0.94,0.9,,0.87,0.71,0.88,Avg hrs per day,Housework,35-44 yrs,Women
TUU10101AA01001305,0.93,0.98,1.06,1.04,0.95,0.97,1.01,,1.0,0.98,0.9,Avg hrs per day,Food preparation and cleanup,35-44 yrs,Women
TUU10101AA01001686,0.07,0.12,0.09,0.09,0.05,0.04,0.06,,0.08,0.07,0.08,Avg hrs per day,Lawn and garden care,35-44 yrs,Women
TUU10101AA01032379,0.08,0.11,0.07,0.1,0.1,0.11,0.09,,0.13,0.11,0.15,Avg hrs per day,Animal and pet care,35-44 yrs,Women
TUU10101AA01008411,0.29,0.26,0.27,0.29,0.35,0.33,0.27,,0.22,0.19,0.23,Avg hrs per day,Travel related to work,35-44 yrs,Women
TUU10101AA01009142,9.57,9.47,9.53,9.43,9.58,9.43,9.55,,9.55,9.68,9.71,Avg hrs per day,Personal care activities (includes travel),35-44 yrs,Women
TUU10101AA01009694,2.35,2.33,2.38,2.55,2.2,2.3,2.36,,2.28,2.17,2.25,Avg hrs per day,Household activities (includes travel),35-44 yrs,Women
TUU10101AA01010678,1.41,1.51,1.56,1.4,1.48,1.61,1.53,,1.52,1.59,1.42,Avg hrs per day,Caring for and helping household members (includes travel),35-44 yrs,Women
