seriesid,"Annual
2013","Annual
2014","Annual
2015","Annual
2016","Annual
2017","Annual
2018","Annual
2019","Annual
2020","Annual
2021","Annual
2022","Annual
2023",Series,Activity,Age Group,Gender
TUU10101AA01017940,8.59,8.62,8.7,8.62,8.63,8.73,8.7,,8.8,8.84,8.94,Avg hrs per day,Sleeping,18 yrs and over,Men
TUU10101AA01018384,0.26,0.28,0.27,0.27,0.24,0.25,0.27,,0.3,0.32,0.33,Avg hrs per day,Housework,18 yrs and over,Men
TUU10101AA01018605,0.35,0.35,0.37,0.36,0.38,0.37,0.4,,0.43,0.43,0.44,Avg hrs per day,Food preparation and cleanup,18 yrs and over,Men
TUU10101AA01018825,0.26,0.27,0.29,0.26,0.26,0.26,0.25,,0.28,0.25,0.23,Avg hrs per day,Lawn and garden care,18 yrs and over,Men
TUU10101AA01032334,0.09,0.1,0.1,0.11,0.13,0.11,0.1,,0.14,0.13,0.14,Avg hrs per day,Animal and pet care,18 yrs and over,Men
TUU10101AA01022638,0.34,0.36,0.36,0.36,0.39,0.36,0.37,,0.28,0.3,0.32,Avg hrs per day,Travel related to work,18 yrs and over,Men
TUU10101AA01008981,9.24,9.26,9.35,9.27,9.28,9.33,9.35,,9.45,9.48,9.55,Avg hrs per day,Personal care activities (includes travel),18 yrs and over,Men
TUU10101AA01009533,1.39,1.44,1.49,1.44,1.46,1.4,1.44,,1.58,1.57,1.55,Avg hrs per day,Household activities (includes travel),18 yrs and over,Men
TUU10101AA01010523,0.37,0.36,0.33,0.36,0.38,0.33,0.33,,0.33,0.32,0.39,Avg hrs per day,Caring for and helping household members (includes travel),18 yrs and over,Men
TUU10101AA01012139,4.42,4.51,4.42,4.63,4.55,4.35,4.55,,4.35,4.32,4.36,Avg hrs per day,Working and work-related activities (includes travel),18 yrs and over,Men
TUU10101AA01012479,0.27,0.19,0.26,0.19,0.28,0.28,0.24,,0.23,0.24,0.18,Avg hrs per day,Educational activities (includes travel),18 yrs and over,Men
TUU10101AA01012804,0.64,0.62,0.61,0.65,0.62,0.63,0.63,,0.58,0.62,0.56,Avg hrs per day,Purchasing goods and services (includes travel),18 yrs and over,Men
TUU10101AA01013389,1.27,1.22,1.24,1.2,1.23,1.23,1.2,,1.21,1.25,1.23,Avg hrs per day,Eating and drinking (includes travel),18 yrs and over,Men
TUU10101AA01013749,5.59,5.66,5.54,5.49,5.5,5.67,5.52,,5.6,5.52,5.49,Avg hrs per day,Leisure and sports (includes travel),18 yrs and over,Men
TUU10101AA01028150,0.13,0.12,0.13,0.12,0.11,0.12,0.11,,0.1,0.09,0.09,Avg hrs per day,Volunteering (organizational and civic activities),18 yrs and over,Men
TUU10101AA01000355,8.45,8.62,8.79,8.54,8.47,8.65,8.68,,9.06,8.92,8.78,Avg hrs per day,Sleeping,25-34 yrs,Men
TUU10101AA01000973,0.21,0.35,0.26,0.29,0.25,0.26,0.25,,0.24,0.34,0.3,Avg hrs per day,Housework,25-34 yrs,Men
TUU10101AA01001210,0.31,0.32,0.37,0.36,0.32,0.36,0.38,,0.43,0.37,0.42,Avg hrs per day,Food preparation and cleanup,25-34 yrs,Men
TUU10101AA01001591,0.15,0.18,0.14,0.15,0.12,0.07,0.08,,0.11,0.17,0.07,Avg hrs per day,Lawn and garden care,25-34 yrs,Men
TUU10101AA01032340,0.06,0.09,0.07,0.1,0.08,0.1,0.1,,0.14,0.1,0.11,Avg hrs per day,Animal and pet care,25-34 yrs,Men
TUU10101AA01008317,0.45,0.45,0.49,0.48,0.49,0.49,0.45,,0.37,0.38,0.43,Avg hrs per day,Travel related to work,25-34 yrs,Men
TUU10101AA01009010,9.07,9.21,9.4,9.21,9.08,9.27,9.29,,9.64,9.66,9.42,Avg hrs per day,Personal care activities (includes travel),25-34 yrs,Men
TUU10101AA01009562,1.08,1.23,1.26,1.25,1.14,1.07,1.11,,1.21,1.31,1.14,Avg hrs per day,Household activities (includes travel),25-34 yrs,Men
TUU10101AA01010549,0.54,0.59,0.53,0.49,0.54,0.47,0.53,,0.46,0.39,0.62,Avg hrs per day,Caring for and helping household members (includes travel),25-34 yrs,Men
TUU10101AA01012168,5.55,5.73,5.63,5.79,5.91,5.88,5.76,,5.39,5.59,5.9,Avg hrs per day,Working and work-related activities (includes travel),25-34 yrs,Men
TUU10101AA01012505,,0.3,0.24,,0.34,0.24,0.39,,0.29,0.19,0.24,Avg hrs per day,Educational activities (includes travel),25-34 yrs,Men
TUU10101AA01012833,0.64,0.51,0.48,0.5,0.53,0.58,0.45,,0.5,0.5,0.43,Avg hrs per day,Purchasing goods and services (includes travel),25-34 yrs,Men
TUU10101AA01013418,1.27,1.13,1.2,1.26,1.22,1.18,1.12,,1.13,1.22,1.12,Avg hrs per day,Eating and drinking (includes travel),25-34 yrs,Men
TUU10101AA01013778,4.84,4.72,4.69,4.55,4.68,4.72,4.77,,4.86,4.53,4.64,Avg hrs per day,Leisure and sports (includes travel),25-34 yrs,Men
TUU10101AA01015457,0.07,0.07,0.07,0.12,0.04,0.06,0.09,,0.09,0.08,,Avg hrs per day,Volunteering (organizational and civic activities),25-34 yrs,Men
TUU10101AA01000371,8.37,8.19,8.67,8.41,8.36,8.47,8.32,,8.49,8.6,8.59,Avg hrs per day,Sleeping,35-44 yrs,Men
TUU10101AA01000989,0.3,0.33,0.27,0.26,0.24,0.29,0.23,,0.34,0.35,0.41,Avg hrs per day,Housework,35-44 yrs,Men
TUU10101AA01001226,0.44,0.36,0.36,0.34,0.38,0.36,0.44,,0.51,0.45,0.46,Avg hrs per day,Food preparation and cleanup,35-44 yrs,Men
TUU10101AA01001607,0.17,0.21,0.16,0.2,0.16,0.2,0.21,,0.17,0.2,0.15,Avg hrs per day,Lawn and garden care,35-44 yrs,Men
TUU10101AA01032346,0.07,0.07,0.07,0.09,0.08,0.07,0.08,,0.11,0.11,0.14,Avg hrs per day,Animal and pet care,35-44 yrs,Men
TUU10101AA01008333,0.45,0.51,0.44,0.46,0.57,0.52,0.49,,0.36,0.34,0.41,Avg hrs per day,Travel related to work,35-44 yrs,Men
TUU10101AA01009026,8.97,8.81,9.31,9.02,8.98,9.08,8.98,,9.27,9.23,9.21,Avg hrs per day,Personal care activities (includes travel),35-44 yrs,Men
TUU10101AA01009578,1.33,1.42,1.29,1.23,1.18,1.28,1.31,,1.53,1.43,1.48,Avg hrs per day,Household activities (includes travel),35-44 yrs,Men
TUU10101AA01010565,0.88,0.83,0.76,0.92,0.86,0.72,0.75,,0.88,0.83,0.87,Avg hrs per day,Caring for and helping household members (includes travel),35-44 yrs,Men
TUU10101AA01012184,5.88,6.12,5.91,6.05,6.29,6.05,6.31,,5.86,5.38,5.79,Avg hrs per day,Working and work-related activities (includes travel),35-44 yrs,Men
TUU10101AA01012521,0.05,0.11,0.06,0.1,0.11,0.03,0.07,,0.09,0.09,0.03,Avg hrs per day,Educational activities (includes travel),35-44 yrs,Men
TUU10101AA01012849,0.66,0.56,0.58,0.6,0.59,0.5,0.58,,0.56,0.57,0.6,Avg hrs per day,Purchasing goods and services (includes travel),35-44 yrs,Men
TUU10101AA01013434,1.23,1.1,1.2,1.19,1.23,1.15,1.12,,1.15,1.24,1.23,Avg hrs per day,Eating and drinking (includes travel),35-44 yrs,Men
TUU10101AA01013794,4.33,4.38,4.3,4.21,4.14,4.46,4.24,,4.08,4.65,4.18,Avg hrs per day,Leisure and sports (includes travel),35-44 yrs,Men
TUU10101AA01015473,0.08,0.14,0.14,0.1,0.11,0.11,0.1,,0.07,0.04,0.09,Avg hrs per day,Volunteering (organizational and civic activities),35-44 yrs,Men
TUU10101AA01000372,8.4,8.46,8.22,8.17,8.47,8.46,8.51,,8.44,8.68,8.7,Avg hrs per day,Sleeping,45-54 yrs,Men
TUU10101AA01000990,0.32,0.25,0.24,0.27,0.28,0.25,0.27,,0.31,0.29,0.35,Avg hrs per day,Housework,45-54 yrs,Men
TUU10101AA01001227,0.35,0.39,0.34,0.38,0.42,0.37,0.38,,0.42,0.44,0.49,Avg hrs per day,Food preparation and cleanup,45-54 yrs,Men
TUU10101AA01001608,0.26,0.33,0.3,0.31,0.29,0.32,0.19,,0.3,0.2,0.19,Avg hrs per day,Lawn and garden care,45-54 yrs,Men
TUU10101AA01032349,0.11,0.11,0.1,0.13,0.17,0.08,0.11,,0.16,0.19,0.14,Avg hrs per day,Animal and pet care,45-54 yrs,Men
TUU10101AA01008334,0.44,0.41,0.47,0.47,0.52,0.52,0.54,,0.37,0.4,0.43,Avg hrs per day,Travel related to work,45-54 yrs,Men
TUU10101AA01009027,9.09,9.09,8.86,8.82,9.18,9.07,9.22,,9.07,9.33,9.3,Avg hrs per day,Personal care activities (includes travel),45-54 yrs,Men
TUU10101AA01009579,1.45,1.53,1.48,1.56,1.59,1.34,1.4,,1.56,1.49,1.6,Avg hrs per day,Household activities (includes travel),45-54 yrs,Men
TUU10101AA01010566,0.38,0.31,0.32,0.39,0.36,0.39,0.38,,0.38,0.37,0.43,Avg hrs per day,Caring for and helping household members (includes travel),45-54 yrs,Men
TUU10101AA01012185,5.37,5.34,5.75,5.77,5.67,5.67,5.91,,5.79,6.04,5.45,Avg hrs per day,Working and work-related activities (includes travel),45-54 yrs,Men
TUU10101AA01012522,0.05,,0.07,0.04,,0.03,,,,,,Avg hrs per day,Educational activities (includes travel),45-54 yrs,Men
TUU10101AA01012850,0.64,0.67,0.66,0.75,0.57,0.71,0.71,,0.66,0.64,0.64,Avg hrs per day,Purchasing goods and services (includes travel),45-54 yrs,Men
TUU10101AA01013435,1.19,1.25,1.22,1.16,1.14,1.25,1.2,,1.14,1.15,1.16,Avg hrs per day,Eating and drinking (includes travel),45-54 yrs,Men
TUU10101AA01013795,4.98,5.1,4.96,4.83,4.87,4.88,4.51,,4.79,4.27,4.87,Avg hrs per day,Leisure and sports (includes travel),45-54 yrs,Men
TUU10101AA01015474,0.15,0.11,0.14,0.08,0.09,0.11,0.08,,0.07,0.09,0.08,Avg hrs per day,Volunteering (organizational and civic activities),45-54 yrs,Men
