series_id,year,period,value,footnote_codes,Series,Activity,Age group,Gender
TUU10101AA01000276,2003,A01,8.52,,Avg hrs per day,Sleeping,25-34 yrs,MenAndWomen
TUU10101AA01000276,2004,A01,8.46,,Avg hrs per day,Sleeping,25-34 yrs,MenAndWomen
TUU10101AA01000276,2005,A01,8.65,,Avg hrs per day,Sleeping,25-34 yrs,MenAndWomen
TUU10101AA01000276,2006,A01,8.58,,Avg hrs per day,Sleeping,25-34 yrs,MenAndWomen
TUU10101AA01000276,2007,A01,8.57,,Avg hrs per day,Sleeping,25-34 yrs,MenAndWomen
TUU10101AA01000276,2008,A01,8.54,,Avg hrs per day,Sleeping,25-34 yrs,MenAndWomen
TUU10101AA01000276,2009,A01,8.54,,Avg hrs per day,Sleeping,25-34 yrs,MenAndWomen
TUU10101AA01000276,2010,A01,8.58,,Avg hrs per day,Sleeping,25-34 yrs,MenAndWomen
TUU10101AA01000276,2011,A01,8.6,,Avg hrs per day,Sleeping,25-34 yrs,MenAndWomen
TUU10101AA01000276,2012,A01,8.76,,Avg hrs per day,Sleeping,25-34 yrs,MenAndWomen
TUU10101AA01000276,2013,A01,8.65,,Avg hrs per day,Sleeping,25-34 yrs,MenAndWomen
TUU10101AA01000276,2014,A01,8.77,,Avg hrs per day,Sleeping,25-34 yrs,MenAndWomen
TUU10101AA01000276,2015,A01,8.87,,Avg hrs per day,Sleeping,25-34 yrs,MenAndWomen
TUU10101AA01000276,2016,A01,8.71,,Avg hrs per day,Sleeping,25-34 yrs,MenAndWomen
TUU10101AA01000276,2017,A01,8.76,,Avg hrs per day,Sleeping,25-34 yrs,MenAndWomen
TUU10101AA01000276,2018,A01,8.78,,Avg hrs per day,Sleeping,25-34 yrs,MenAndWomen
TUU10101AA01000276,2019,A01,8.88,,Avg hrs per day,Sleeping,25-34 yrs,MenAndWomen
TUU10101AA01000276,2020,A01,           -,M,Avg hrs per day,Sleeping,25-34 yrs,MenAndWomen
TUU10101AA01000276,2021,A01,9.04,,Avg hrs per day,Sleeping,25-34 yrs,MenAndWomen
TUU10101AA01000276,2022,A01,9.07,,Avg hrs per day,Sleeping,25-34 yrs,MenAndWomen
TUU10101AA01000276,2023,A01,8.96,,Avg hrs per day,Sleeping,25-34 yrs,MenAndWomen
TUU10101AA01000292,2003,A01,8.34,,Avg hrs per day,Sleeping,35-44 yrs,MenAndWomen
TUU10101AA01000292,2004,A01,8.25,,Avg hrs per day,Sleeping,35-44 yrs,MenAndWomen
TUU10101AA01000292,2005,A01,8.37,,Avg hrs per day,Sleeping,35-44 yrs,MenAndWomen
TUU10101AA01000292,2006,A01,8.39,,Avg hrs per day,Sleeping,35-44 yrs,MenAndWomen
TUU10101AA01000292,2007,A01,8.35,,Avg hrs per day,Sleeping,35-44 yrs,MenAndWomen
TUU10101AA01000292,2008,A01,8.38,,Avg hrs per day,Sleeping,35-44 yrs,MenAndWomen
TUU10101AA01000292,2009,A01,8.41,,Avg hrs per day,Sleeping,35-44 yrs,MenAndWomen
TUU10101AA01000292,2010,A01,8.4,,Avg hrs per day,Sleeping,35-44 yrs,MenAndWomen
TUU10101AA01000292,2011,A01,8.43,,Avg hrs per day,Sleeping,35-44 yrs,MenAndWomen
TUU10101AA01000292,2012,A01,8.52,,Avg hrs per day,Sleeping,35-44 yrs,MenAndWomen
TUU10101AA01000292,2013,A01,8.52,,Avg hrs per day,Sleeping,35-44 yrs,MenAndWomen
TUU10101AA01000292,2014,A01,8.42,,Avg hrs per day,Sleeping,35-44 yrs,MenAndWomen
TUU10101AA01000292,2015,A01,8.67,,Avg hrs per day,Sleeping,35-44 yrs,MenAndWomen
TUU10101AA01000292,2016,A01,8.5,,Avg hrs per day,Sleeping,35-44 yrs,MenAndWomen
TUU10101AA01000292,2017,A01,8.57,,Avg hrs per day,Sleeping,35-44 yrs,MenAndWomen
TUU10101AA01000292,2018,A01,8.55,,Avg hrs per day,Sleeping,35-44 yrs,MenAndWomen
TUU10101AA01000292,2019,A01,8.56,,Avg hrs per day,Sleeping,35-44 yrs,MenAndWomen
TUU10101AA01000292,2020,A01,           -,M,Avg hrs per day,Sleeping,35-44 yrs,MenAndWomen
TUU10101AA01000292,2021,A01,8.64,,Avg hrs per day,Sleeping,35-44 yrs,MenAndWomen
TUU10101AA01000292,2022,A01,8.73,,Avg hrs per day,Sleeping,35-44 yrs,MenAndWomen
TUU10101AA01000292,2023,A01,8.76,,Avg hrs per day,Sleeping,35-44 yrs,MenAndWomen
TUU10101AA01000293,2003,A01,8.17,,Avg hrs per day,Sleeping,45-54 yrs,MenAndWomen
TUU10101AA01000293,2004,A01,8.17,,Avg hrs per day,Sleeping,45-54 yrs,MenAndWomen
TUU10101AA01000293,2005,A01,8.2,,Avg hrs per day,Sleeping,45-54 yrs,MenAndWomen
TUU10101AA01000293,2006,A01,8.3,,Avg hrs per day,Sleeping,45-54 yrs,MenAndWomen
TUU10101AA01000293,2007,A01,8.24,,Avg hrs per day,Sleeping,45-54 yrs,MenAndWomen
TUU10101AA01000293,2008,A01,8.27,,Avg hrs per day,Sleeping,45-54 yrs,MenAndWomen
TUU10101AA01000293,2009,A01,8.29,,Avg hrs per day,Sleeping,45-54 yrs,MenAndWomen
TUU10101AA01000293,2010,A01,8.26,,Avg hrs per day,Sleeping,45-54 yrs,MenAndWomen
TUU10101AA01000293,2011,A01,8.37,,Avg hrs per day,Sleeping,45-54 yrs,MenAndWomen
TUU10101AA01000293,2012,A01,8.42,,Avg hrs per day,Sleeping,45-54 yrs,MenAndWomen
TUU10101AA01000293,2013,A01,8.51,,Avg hrs per day,Sleeping,45-54 yrs,MenAndWomen
TUU10101AA01000293,2014,A01,8.57,,Avg hrs per day,Sleeping,45-54 yrs,MenAndWomen
