series_id,year,value,supersector,industry,datatype,period
CES0500000002,2014,34.4,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,January
CES0500000002,2014,34.3,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,February
CES0500000002,2014,34.5,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,March
CES0500000002,2014,34.5,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,April
CES0500000002,2014,34.5,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,May
CES0500000002,2014,34.5,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,June
CES0500000002,2014,34.5,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,July
CES0500000002,2014,34.6,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,August
CES0500000002,2014,34.5,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,September
CES0500000002,2014,34.5,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,October
CES0500000002,2014,34.6,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,November
CES0500000002,2014,34.6,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,December
CES0500000002,2015,34.5,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,January
CES0500000002,2015,34.6,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,February
CES0500000002,2015,34.5,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,March
CES0500000002,2015,34.5,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,April
CES0500000002,2015,34.5,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,May
CES0500000002,2015,34.5,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,June
CES0500000002,2015,34.5,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,July
CES0500000002,2015,34.6,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,August
CES0500000002,2015,34.5,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,September
CES0500000002,2015,34.5,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,October
CES0500000002,2015,34.5,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,November
CES0500000002,2015,34.5,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,December
CES0500000002,2016,34.6,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,January
CES0500000002,2016,34.4,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,February
CES0500000002,2016,34.4,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,March
CES0500000002,2016,34.4,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,April
CES0500000002,2016,34.4,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,May
CES0500000002,2016,34.4,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,June
CES0500000002,2016,34.4,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,July
CES0500000002,2016,34.3,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,August
CES0500000002,2016,34.4,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,September
CES0500000002,2016,34.4,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,October
CES0500000002,2016,34.3,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,November
CES0500000002,2016,34.4,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,December
CES0500000002,2017,34.4,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,January
CES0500000002,2017,34.3,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,February
CES0500000002,2017,34.3,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,March
CES0500000002,2017,34.4,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,April
CES0500000002,2017,34.4,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,May
CES0500000002,2017,34.4,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,June
CES0500000002,2017,34.4,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,July
CES0500000002,2017,34.4,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,August
CES0500000002,2017,34.3,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,September
CES0500000002,2017,34.4,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,October
CES0500000002,2017,34.5,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,November
CES0500000002,2017,34.4,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,December
CES0500000002,2018,34.4,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,January
CES0500000002,2018,34.5,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,February
CES0500000002,2018,34.5,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,March
CES0500000002,2018,34.5,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,April
CES0500000002,2018,34.5,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,May
CES0500000002,2018,34.6,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,June
CES0500000002,2018,34.5,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,July
CES0500000002,2018,34.5,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,August
CES0500000002,2018,34.4,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,September
CES0500000002,2018,34.5,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,October
CES0500000002,2018,34.4,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,November
CES0500000002,2018,34.5,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,December
CES0500000002,2019,34.5,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,January
CES0500000002,2019,34.4,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,February
CES0500000002,2019,34.5,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,March
CES0500000002,2019,34.4,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,April
CES0500000002,2019,34.4,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,May
CES0500000002,2019,34.4,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,June
CES0500000002,2019,34.4,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,July
CES0500000002,2019,34.4,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,August
CES0500000002,2019,34.4,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,September
CES0500000002,2019,34.3,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,October
CES0500000002,2019,34.3,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,November
CES0500000002,2019,34.3,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,December
CES0500000002,2020,34.3,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,January
CES0500000002,2020,34.3,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,February
CES0500000002,2020,34.0,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,March
CES0500000002,2020,34.2,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,April
CES0500000002,2020,34.7,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,May
CES0500000002,2020,34.6,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,June
CES0500000002,2020,34.6,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,July
CES0500000002,2020,34.7,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,August
CES0500000002,2020,34.8,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,September
