series_id        	sector_code	measure_code	duration_code	base_year	series_title	footnote_codes	begin_year	begin_period	end_year	end_period
MPU0011012       	0011	01	2	2017	Total factor productivity for Agriculture, forestry, fishing, and hunting (NAICS 11), Indexes = 100.000	04	1987	A01	2022	A01
MPU0011013       	0011	01	3	-	Total factor productivity for Agriculture, forestry, fishing, and hunting (NAICS 11), % Change Year Ago	04	1988	A01	2022	A01
MPU0011032       	0011	03	2	2017	Combined inputs for Agriculture, forestry, fishing, and hunting (NAICS 11), Indexes = 100.000	06	1987	A01	2022	A01
MPU0011033       	0011	03	3	-	Combined inputs for Agriculture, forestry, fishing, and hunting (NAICS 11), % Change Year Ago	06	1988	A01	2022	A01
MPU0011042       	0011	04	2	2017	Capital input for Agriculture, forestry, fishing, and hunting (NAICS 11), Indexes = 100.000	00	1987	A01	2022	A01
MPU0011043       	0011	04	3	-	Capital input for Agriculture, forestry, fishing, and hunting (NAICS 11), % Change Year Ago	00	1988	A01	2022	A01
MPU0011052       	0011	05	2	2017	Labor input for Agriculture, forestry, fishing, and hunting (NAICS 11), Indexes = 100.000	03	1987	A01	2022	A01
MPU0011053       	0011	05	3	-	Labor input for Agriculture, forestry, fishing, and hunting (NAICS 11), % Change Year Ago	03	1988	A01	2022	A01
MPU0011062       	0011	06	2	2017	Labor productivity for Agriculture, forestry, fishing, and hunting (NAICS 11), Indexes = 100.000	08	1987	A01	2022	A01
MPU0011063       	0011	06	3	-	Labor productivity for Agriculture, forestry, fishing, and hunting (NAICS 11), % Change Year Ago	08	1988	A01	2022	A01
MPU0011072       	0011	07	2	2017	Capital productivity for Agriculture, forestry, fishing, and hunting (NAICS 11), Indexes = 100.000		1987	A01	2022	A01
MPU0011073       	0011	07	3	-	Capital productivity for Agriculture, forestry, fishing, and hunting (NAICS 11), % Change Year Ago		1988	A01	2022	A01
MPU0011082       	0011	08	2	2017	Capital intensity for Agriculture, forestry, fishing, and hunting (NAICS 11), Indexes = 100.000		1987	A01	2022	A01
MPU0011083       	0011	08	3	-	Capital intensity for Agriculture, forestry, fishing, and hunting (NAICS 11), % Change Year Ago		1988	A01	2022	A01
MPU0011152       	0011	15	2	2017	Contribution of capital intensity to labor productivity for Agriculture, forestry, fishing, and hunting (NAICS 11), Indexes = 100.000		1987	A01	2022	A01
MPU0011153       	0011	15	3	-	Contribution of capital intensity to labor productivity for Agriculture, forestry, fishing, and hunting (NAICS 11), % Change Year Ago		1988	A01	2022	A01
